"Name","Objects","Shallow Size","Retained Size"
"sun.java2d.x11.X11PMBlitLoops","20","960","960"
"java.io.File","39","936","4408"
"javax.swing.JRadioButton","2","928","2064"
"sun.reflect.DelegatingConstructorAccessorImpl","58","928","2216"
"java.util.TreeMap","19","912","4960"
"sun.swing.SwingLazyValue","38","912","1224"
"java.awt.image.PixelInterleavedSampleModel","16","896","1552"
"javax.swing.event.ChangeEvent","56","896","896"
"sun.reflect.DelegatingClassLoader","16","896","9296"
"sun.misc.URLClassPath$JarLoader","22","880","6552"
"javax.management.MBeanOperationInfo[]","34","872","872"
"javax.management.openmbean.ArrayType","15","840","5176"
"javax.swing.Timer","15","840","3480"
"sun.awt.image.ByteInterleavedRaster","7","840","1844592"
"java.awt.image.ComponentColorModel","8","832","1072"
"javax.management.ObjectName$Property[]","35","832","832"
"javax.swing.InputMap","34","816","816"
"sun.java2d.loops.DrawGlyphList","17","816","816"
"sun.java2d.loops.FillRect","17","816","816"
"javax.swing.JFrame","2","800","2368"
"sun.font.FontManager$FontRegistrationInfo","25","800","1432"
"javax.swing.ActionMap","33","792","792"
"java.util.jar.JarFile","14","784","17952"
"com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter","32","768","2664"
"javax.swing.JRootPane","2","768","3456"
"sun.awt.SunHints$Value","32","768","768"
"sun.font.EAttribute","24","768","768"
"sun.java2d.loops.DrawLine","16","768","768"
"sun.java2d.loops.DrawPath","16","768","768"
"sun.java2d.loops.DrawPolygons","16","768","768"
"sun.java2d.loops.DrawRect","16","768","768"
"sun.java2d.loops.FillPath","16","768","768"
"sun.java2d.loops.FillSpans","16","768","768"
"sun.reflect.annotation.AnnotationInvocationHandler","31","744","744"
"javax.management.ObjectName","18","720","2392"
"java.util.Locale","22","704","704"
"javax.swing.JLayeredPane","2","704","1536"
"java.lang.ref.ReferenceQueue$Lock","43","688","688"
"java.lang.ThreadLocal$ThreadLocalMap","28","672","4760"
"sun.java2d.loops.TransformHelper","14","672","672"
"sun.awt.X11.XFramePeer","2","656","2656"
"java.util.LinkedList$Entry","27","648","1400"
"com.sun.jmx.mbeanserver.MXBeanSupport","16","640","1024"
"javax.management.MBeanOperationInfo","16","640","6288"
"sun.java2d.loops.RenderCache$Entry[]","7","632","728"
"java.util.regex.Pattern$CharPropertyNames$1","39","624","624"
"sun.java2d.loops.DrawGlyphListLCD","13","624","624"
"javax.management.ObjectName$Property","25","600","600"
"javax.swing.DefaultBoundedRangeModel","15","600","1560"
"sun.java2d.x11.X11SurfaceData$X11PixmapSurfaceData","5","600","1040"
"java.awt.Font","8","576","576"
