"Name","Retained Size","Level"
"[Unreachable] int[8152] = {1595950431, 1147018565, 507862816, 1612793183, 1180704582, 507862816, 1579107679, 1147018564, 457399069, 1545487196, 1146952772, 474242078, 1528644701, 1130109763, 457399069, 1511801692, 1113266754, 406935835, 1478115417, 1079580736, 406935321, 1478115928, 1096226626, 339760664, 1427586644, 1079383615, 339629078, 1410743892, 1028854590, 322786069, 1393900883, 1028723773, 356339475, 1326792015, 1028592957, 339496468, 1309949006, 1011749948, 339496468, 1293106254, 994906939, 305810450, 1276262988, 961220922, 289098257, 1242643274, 977866811, 289032464, 1242643274, 994709819, ...}","32624", "1"
"sun.misc.Launcher$AppClassLoader [Held by JVM]","31152", "1"
"[Unreachable] int[7562] = {271793935, 1058026560, 910103094, 288767762, 1041315134, 842928181, 254819599, 1041379389, 842928177, 288439313, 990916924, 842731568, 288438544, 907292983, 791810864, 288108308, 554444585, 505219874, 387783185, 504962844, 606149665, 536870911, 606021412, 656678695, 505815838, 606021155, 673521703, 589965090, 707078952, 774579245, 556608035, 706817322, 757735725, 573385251, 690301993, 690496554, 303634454, 303174932, 336860178, 370480407, 337187860, 404167701, 469696512, 421206041, 404363544, 354031641, 404036121, 488117277, 488840214, 740699173, ...}","30264", "1"
"java.util.logging.LogManager","26008", "1"
"com.yourkit.runtime.Core$MyProcessOutputReader [Thread]  ""YJPAgent-UILauncher-IR"" native ID: 0x3D48","25176", "1"
"com.yourkit.runtime.Core$MyProcessOutputReader [Thread]  ""YJPAgent-UILauncher-ER"" native ID: 0x3D49","25176", "1"
"java.io.PrintStream","25064", "1"
"java.io.PrintStream","25064", "1"
"java.lang.ProcessEnvironment [Class]","24280", "1"
"sun.font.FontManager [Class]","24152", "1"
"sun.security.provider.Sun","21128", "1"
"java.util.zip.Inflater","20696", "1"
"sun.awt.X11.XAWTIcon64_java_icon48_png [Class]","19072", "1"
"sun.util.calendar.ZoneInfoFile [Class]","15840", "1"
"[Unreachable] int[3430] = {807812144, 976234042, 607924774, 790838320, 976234043, 691810856, 824720434, 942614586, 691153701, 774517804, 875506739, 724708907, 791556654, 892415539, 640823080, 807875119, 858793779, 674509096, 807875633, 858793779, 657600294, 824718128, 875636788, 657666087, 824718128, 909387828, 607334693, 824455985, 875701555, 657732134, 858207539, 892544821, 640954918, 807875634, 841950771, 657600294, 824718128, 875636788, 674443303, 841495090, 842147890, 691155496, 858338099, 858990899, 674378280, 858337842, 858990899, 691221289, 858338099, 858990899, ...}","13736", "1"
