"Name","Objects","Shallow Size","Retained Size"
"sun.awt.resources.awt","1","40","6568"
"sun.misc.URLClassPath$JarLoader","22","880","6552"
"java.security.Provider$Service","24","1344","6504"
"sun.reflect.generics.tree.MethodTypeSignature","6","192","6472"
"java.util.logging.Logger","89","5696","6312"
"javax.management.MBeanOperationInfo","16","640","6288"
"java.lang.Thread","14","1568","6272"
"sun.reflect.DelegatingClassLoader","11","616","6216"
"javax.swing.event.EventListenerList","222","3552","6096"
"java.security.ProtectionDomain","8","320","6080"
"java.util.Collections$SingletonList","14","336","5736"
"java.security.Permissions","9","288","5664"
"java.beans.PropertyChangeListener[]","232","5560","5592"
"java.util.regex.Pattern$Branch","4","128","5560"
"sun.awt.motif.MFontConfiguration","1","96","5544"
"javax.management.openmbean.CompositeType","9","504","5440"
"javax.imageio.spi.DigraphNode","16","512","5360"
"java.lang.ThreadLocal$ThreadLocalMap","28","672","5336"
"javax.management.MBeanParameterInfo[]","15","360","5304"
"com.sun.jmx.mbeanserver.NamedObject","17","408","5264"
"sun.font.TrueTypeFont","2","256","5256"
"javax.management.MBeanAttributeInfo","55","1760","5216"
"javax.management.openmbean.ArrayType","15","840","5176"
"javax.swing.UIDefaults$LazyInputMap","24","384","5120"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","32","2048","4976"
"java.awt.Rectangle","155","4960","4960"
"java.util.TreeMap","19","912","4960"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","28","2240","4904"
"sun.reflect.generics.tree.TypeArgument[]","66","1112","4848"
"java.lang.Integer[]","2","1064","4792"
"java.security.ProtectionDomain[]","197","4736","4736"
"java.lang.Short[]","1","1040","4704"
"int[][]","13","2048","4592"
"java.lang.Short","282","4512","4512"
"javax.management.StandardMBean","15","360","4448"
"java.util.regex.Pattern$BitClass","6","144","4400"
"long[][]","2","208","4336"
"java.io.File","33","792","4264"
"sun.java2d.loops.MaskBlit","88","4224","4224"
"com.sun.jmx.mbeanserver.OpenConverter$ConverterMap","1","48","4224"
"sun.font.CompositeGlyphMapper","2","64","4048"
"uk.ac.ed.inf.sdp2012.group7.vision.worldstate.WorldState","1","72","3896"
"java.util.regex.Pattern$GroupHead","9","216","3888"
"java.util.regex.Pattern$BranchConn","4","64","3704"
"java.util.regex.Pattern","5","320","3632"
"java.lang.reflect.Field[]","53","3512","3512"
"javax.swing.Timer","15","840","3480"
"javax.swing.JRootPane","2","768","3456"
"sun.awt.X11.XAtom","105","3360","3360"
"sun.font.FontManager$FontConfigInfo[]","1","64","3336"
"sun.font.FontManager$FontConfigInfo","12","480","3272"
"sun.awt.X11.XNETProtocol","1","112","3272"
"javax.imageio.ImageTypeSpecifier$Packed","7","336","3248"
"uk.ac.ed.inf.sdp2012.group7.vision.worldstate.MovingObject","5","280","3136"
"sun.java2d.DefaultDisposerRecord","97","3104","3104"
"au.edu.jcu.v4l4j.DeviceInfo","1","40","3104"
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap","1","48","3096"
"sun.awt.X11.XAtomList","3","48","3072"
"sun.misc.ProxyGenerator$PrimitiveTypeInfo","8","256","3072"
"javax.management.MBeanParameterInfo","14","448","3024"
"java.awt.image.DirectColorModel","11","1584","2992"
"java.io.ObjectStreamField[]","15","440","2992"
"java.util.logging.LogManager$RootLogger","1","72","2944"
"java.util.IdentityHashMap","7","280","2872"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","42","1344","2760"
"org.apache.log4j.helpers.PatternParser$LiteralPatternConverter","6","192","2704"
"com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter","32","768","2664"
"java.awt.image.IndexColorModel","2","192","2656"
"sun.awt.X11.XFramePeer","2","656","2656"
"java.util.jar.Attributes$Name","67","1608","2640"
"java.io.ObjectStreamField","43","1720","2552"
"javax.imageio.ImageTypeSpecifier$Indexed","1","48","2552"
"float[]","28","2544","2544"
"java.util.LinkedHashSet","6","96","2536"
"org.apache.log4j.helpers.PatternParser$BasicPatternConverter","5","160","2536"
"java.awt.VKCollection","1","24","2464"
"java.io.FilePermissionCollection","7","168","2456"
"javax.swing.BoxLayout","6","240","2448"
"java.security.Provider$UString","23","552","2440"
"javax.management.ObjectName","18","720","2392"
"java.util.Collections$SynchronizedMap","6","192","2384"
"sun.awt.X11GraphicsDevice","1","64","2384"
"javax.swing.JTabbedPane","1","376","2360"
"boolean[]","28","2352","2352"
"org.apache.log4j.Hierarchy","1","48","2336"
"java.util.regex.Pattern$Single","5","120","2280"
"sun.management.MemoryPoolImpl","5","280","2280"
"sun.java2d.loops.MaskFill","47","2256","2256"
"javax.management.MBeanAttributeInfo[]","41","2016","2240"
"java.awt.Point","91","2184","2184"
"java.lang.Character[]","1","528","2160"
"com.sun.jmx.mbeanserver.OpenConverter[]","112","2128","2128"
"javax.swing.JFrame","2","800","2104"
"au.edu.jcu.v4l4j.ImageFormatList","1","40","2088"
"sun.java2d.loops.SurfaceType","65","2080","2080"
"java.lang.Character","129","2064","2064"
"com.sun.imageio.plugins.jpeg.JPEGImageReader$JPEGReaderDisposerRecord","85","2040","2040"
"javax.imageio.stream.FileCacheImageInputStream$StreamDisposerRecord","85","2040","2040"
"javax.swing.JRadioButton","2","928","2032"
"java.security.Provider$ServiceKey","47","1128","1968"
"java.util.Arrays$ArrayList","15","360","1960"
"javax.imageio.ImageTypeSpecifier$Grayscale","3","96","1960"
"java.util.regex.Pattern$GroupTail","9","216","1920"
"javax.management.openmbean.OpenMBeanParameterInfoSupport","8","448","1920"
"sun.awt.image.BufImgSurfaceManager","5","120","1920"
"java.lang.ref.ReferenceQueue","40","1280","1872"
"sun.awt.X11GraphicsEnvironment","1","56","1856"
"java.util.Collections$UnmodifiableSet","4","64","1840"
"javax.swing.SizeRequirements[]","12","416","1824"
"javax.swing.SizeRequirements","56","1792","1792"
"java.io.UnixFileSystem","1","32","1792"
"java.io.ExpiringCache","2","80","1760"
"java.io.FilePermission","7","224","1728"
"java.util.regex.Pattern$Node[]","4","96","1728"
"javax.imageio.ImageTypeSpecifier$Interleaved","6","240","1696"
"java.io.ExpiringCache$1","2","112","1680"
"java.awt.image.PixelInterleavedSampleModel","18","1008","1664"
"java.awt.geom.AffineTransform","23","1656","1656"
"sun.swing.SwingUtilities2$BearingCacheEntry[]","1","56","1656"
"sun.java2d.SunGraphics2D","7","1456","1640"
"com.yourkit.probes.ForeignKeyColumn","20","480","1600"
"sun.swing.SwingUtilities2$BearingCacheEntry","1","32","1600"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap","2","48","1584"
"javax.swing.plaf.InputMapUIResource","7","168","1568"
"javax.swing.DefaultBoundedRangeModel","15","600","1560"
"javax.swing.JLayeredPane","2","704","1536"
"au.edu.jcu.v4l4j.ImageFormat","14","336","1520"
"javax.swing.ArrayTable","9","144","1512"
"java.lang.reflect.Constructor[]","66","1504","1504"
"org.apache.log4j.PatternLayout","1","32","1488"
"javax.swing.plaf.ColorUIResource","37","1480","1480"
"sun.font.PhysicalFont[]","20","1440","1440"
